titulo,preco,bairro,area,quartos,banheiros,vagas,finalidade,fonte,link
Casa pelo programa Minha Casa Minha Vida ,340000.0,Loteamento Recife,100.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-pelo-programa-minha-casa-minha-vida-1518282089
Vendo essa casa no bairro mandacaru,350000.0,Antonio Cassimiro,200.0,2,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vendo-essa-casa-no-bairro-mandacaru-1531770387
Casa na COHAB VI (Cohab São Francisco) ,660000.0,Cohab Sao Francisco,230.0,3,3,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-na-cohab-vi-cohab-sao-francisco-1523845117
22000 0,220000.0,Pedro Raimundo,200.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/22000-0-1531745877
Imóvel para venda tem 162 metros quadrados com 3 quartos em João de Deus - Petrolina - PE,660000.0,Joao De Deus,162.0,3,2,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/imovel-para-venda-tem-162-metros-quadrados-com-3-quartos-em-joao-de-deus-petrolina-pe-1531742158
Casa em condomínio ,1300000.0,Sao Jose,,4,5,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-em-condominio-1531731003
Apartamento Morada Movao | Petrolina-PE,240000.0,Centro,,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-morada-movao-petrolina-pe-1529158002
? APARTAMENTO À VENDA - MORADA DOS YPÊS | COHAB MASSANGANO - PETROLINA/PE,265000.0,Cohab Massangano,53.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-venda-morada-dos-ypes-cohab-massangano-petrolina-pe-1528262083
Casa pra vender ,320000.0,Jardim Maravilha,,5,3,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-pra-vender-1531730620
Vendo casa no bairro Vila Eulalia,365000.0,Vila Eulalia,120.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vendo-casa-no-bairro-vila-eulalia-1531730376
Apartamento à venda mobiliado ,300000.0,Atras Da Banca,50.0,2,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/apartamento-a-venda-mobiliado-1465856929
"Casa à venda, 1 quarto, 2 suítes, 2 vagas, Vila Eduardo - Petrolina/PE",1200000.0,Vila Eduardo,180.0,1,1,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-1-quarto-2-suites-2-vagas-vila-eduardo-petrolina-pe-1531660841
"Casa à venda, 4 quartos, 4 suítes no Condomínio Alphaville, Petrolina/PE.",1700000.0,Boa Esperanca,200.0,4,5,3,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-4-quartos-4-suites-no-condominio-alphaville-petrolina-pe-1531576877
   Casa à Venda - Excelente Localização e Ótimo Preço,260000.0,Cohab Sao Francisco,100.0,3,2,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-a-venda-excelente-localizacao-e-otimo-preco-1531567130
Vale do Grande Rio,215000.0,Jardim Sao Paulo,72.0,2,1,1,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/vale-do-grande-rio-1519535338
Casa no Condiminio Prime,1200000.0,Jatoba,130.0,3,4,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/casa-no-condiminio-prime-1505090304
Condominio Vila Nobre residence,250000.0,Topazio,80.0,3,1,2,venda,OLX,https://pe.olx.com.br/regiao-de-petrolina-e-garanhuns/imoveis/condominio-vila-nobre-residence-1513255364
